"start","end","survey_type","survey_id","survey_version","country","community","sex","boat_status","boat_power","boat_length","choice","package_nopackage","fishing_organization","punishment_severity","mpa","age","years_fishing","education","digits","gear_handline","gear_spear","gear_traps","gear_gillnet","gear_mobilenet","gear_statline","gear_buceo","gear_other","other_gear","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_gps","fishtech_vesseltrack","fishtech_other","fishtech_none","other_fishtech","enforcement_community_members","enforcement_village_leader","enforcement_village_gov","enforcement_provincial_gov","enforcement_national_gov","enforcement_none","enforcement_other","restriction_gear","restriction_size","restriction_season","restriction_spacial","restriction_quota","restriction_other","restriction_none","rank_one","rank_two","rank_three","rank_four","income_usd"
"2019-06-29 10:18:00","2019-07-02 04:29:42","data",1001,3,"IND","RAJ","M","own","no",7,1,"no_package","yes","strong","yes",19,1,"other",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,0,0,1,0,0,0,"trash_pollutin","iuu","weather","corruption",71
"2019-06-29 11:25:55","2019-07-02 04:27:37","data",1002,14,"IND","RAJ","M","own","no",9,2,"package_chosen","yes","weak","yes",41,25,"hs",0,1,0,0,0,0,0,0,0,"0",1,1,0,0,0,1,0,0,NA,1,1,1,0,0,0,0,0,1,0,1,1,0,0,"weather","iuu","corruption","trash_pollutin",71
"2019-06-29 11:47:45","2019-07-02 04:23:44","data",1003,10,"IND","RAJ","M","share_collective","no",9,2,"package_chosen","yes","strong","yes",68,55,"some_hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,1,0,0,"weather","iuu","trash_pollutin","trash_pollutin",106
"2019-06-29 12:00:41","2019-07-02 04:13:27","data",1004,5,"IND","RAJ","M","own","no",4,1,"package_chosen","yes","moderate","yes",56,15,"some_hs",0,1,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,1,1,1,0,0,0,0,1,0,1,0,0,0,0,"trash_pollutin","iuu","trash_pollutin","corruption",71
"2019-06-29 14:37:29","2019-07-02 04:08:45","data",1005,11,"IND","RAJ","M","own","no",5,1,"package_chosen","yes","strong","yes",59,30,"other",0,1,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,1,0,0,0,0,1,1,0,1,0,0,0,"weather","weather","trash_pollutin","corruption",143
"2019-06-29 14:56:28","2019-07-02 04:04:05","data",1006,1,"IND","RAJ","M","own","no",6,2,"no_package","yes","severe","yes",26,7,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,1,1,0,0,0,1,1,0,1,0,0,0,"iuu","weather","trash_pollutin","corruption",71
"2019-06-30 00:11:15","2019-07-02 04:00:21","data",1007,2,"IND","RAJ","M","share_collective","no",7,1,"package_chosen","yes","weak","no",23,11,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"corruption","weather","iuu","trash_pollutin",78
"2019-07-01 15:46:47","2019-07-01 16:00:41","data",1008,11,"IND","RAJ","M","own","no",9,1,"no_package","yes","weak","yes",33,9,"no_formal other",0,1,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,1,0,0,1,0,0,0,1,1,1,1,0,0,0,"weather","trash_pollutin","iuu","corruption",213
"2019-06-30 06:05:54","2019-07-02 03:46:07","data",1009,6,"IND","RAJ","M","own","no",9,2,"package_chosen","no","weak","no",46,34,"hs",0,1,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,1,1,1,0,0,0,0,1,1,0,1,0,0,0,"weather","iuu","trash_pollutin","corruption",7
"2019-06-30 06:20:30","2019-07-02 03:38:27","data",1010,16,"IND","RAJ","M","own","no",9,2,"package_chosen","yes","strong","yes",42,30,"some_hs",0,1,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,1,1,1,0,0,0,1,0,1,0,0,0,"weather","iuu","trash_pollutin","corruption",568
"2019-06-30 05:21:47","2019-07-02 03:50:36","data",1011,4,"IND","RAJ","M","own","no",6,1,"no_package","yes","strong","no",37,5,"some_hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,1,0,1,0,0,0,"iuu","corruption","weather","trash_pollutin",284
"2019-06-29 07:35:53","2019-07-02 04:31:11","data",1012,10,"IND","RAJ","M","own","no",8,2,"package_chosen","yes","moderate","yes",52,30,"vocational",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"weather","iuu","trash_pollutin","trash_pollutin",143
"2019-06-30 00:38:56","2019-07-02 03:53:56","data",1013,3,"IND","RAJ","M","rent","no",6,2,"package_chosen","yes","strong","yes",33,15,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,1,1,0,0,0,1,0,0,1,0,0,0,"iuu","corruption","trash_pollutin","weather",106
"2019-06-27 07:08:51","2019-07-02 04:33:33","data",1014,6,"IND","RAJ","M","own","no",4,2,"package_chosen","yes","none","yes",50,15,"vocational",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",143
"2019-06-29 07:03:46","2019-07-02 04:40:02","data",1015,7,"IND","RAJ","M","own","no",3,1,"package_chosen","yes","strong","yes",42,30,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","iuu","weather","corruption",143
"2019-06-29 07:17:28","2019-07-02 04:32:12","data",1016,8,"IND","RAJ","M","rent","no",2,2,"package_chosen","yes","moderate","yes",37,16,"hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",143
"2019-06-29 07:27:49","2019-07-02 04:22:39","data",1017,9,"IND","RAJ","M","own","no",4,1,"package_chosen","yes","moderate","yes",40,15,"some_hs",0,1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"weather","iuu","weather","corruption",143
"2019-06-30 07:13:32","2019-07-02 03:37:54","data",1018,7,"IND","RAJ","M","own","no",9,1,"package_chosen","no","none","yes",40,28,"some_hs",0,1,0,0,0,0,0,0,1,"Speargun",0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,1,0,1,0,0,0,"corruption","trash_pollutin","iuu","weather",71
"2019-07-02 03:22:11","2019-07-02 03:30:02","data",2001,10,"IND","MNC","M","own","no",13,2,"no_package","yes","severe","no",54,3,"hs",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","iuu","weather","corruption",71
"2019-07-01 16:00:41","2019-07-02 02:43:57","data",2002,7,"IND","MNC","M","own","yes",10,1,"no_package","yes","severe","no",40,24,"no_formal",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"trash_pollutin","iuu","weather","corruption",710
"2019-07-02 02:43:57","2019-07-02 03:00:47","data",2003,8,"IND","MNC","M","own","no",10,2,"no_package","yes","severe","no",36,9,"some_hs",0,0,0,0,0,0,0,0,1,"Traditional net",0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"trash_pollutin","iuu","weather","corruption",710
