"start","end","survey_type","survey_id","survey_version","country","community","sex","interviewer","interviewer_Org","gear_handline","gear_spear","gear_traps","gear_gillnet","gear_mobilenet","gear_statline","gear_buceo","gear_other","other_gear","boat_status","boat_material","boat_motorized","boat_power","boat_length","comment","tech_smartphone","tech_maps","tech_socialmedia","tech_other","tech_none","other_tech","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_gps","fishtech_vesseltrack","fishtech_other","fishtech_none","other_fishtech","text_vms","positive_tracking_tech_one","positive_tracking_tech_two","negative_tracking_tech_one","negative_tracking_tech_two","choice","package_nopackage","wtp_1","wtp_2","wtp_3","wtp_4","wtr_1","wtr_2","wtr_3","wtr_4","tracking_positive","tracking_negative","vms_adoption_text","vms_design_a","vms_design_b","vms_design_c","vms_design_d","vms_design_e","vms_design_f","vms_design_g","vms_design_h","vms_design_i","target_species_one","target_species_two","target_species_three","fraction_personal","fraction_neighbor","fraction_local_trade","fraction_export","fraction_other","other_fraction","fishing_organization","fishing_org_type","other_type","fishing_org_role","other_role","fishing_org_members","access_target_species","other_access","restriction_gear","restriction_size","restriction_season","restriction_spacial","restriction_quota","restriction_other","restriction_none","other_restriction","enforcement_community_members","enforcement_village_leader","enforcement_village_gov","enforcement_provincial_gov","enforcement_national_gov","enforcement_none","enforcement_other","other_enforcement","enforcement_interval","other_interval","punishment_severity","mpa","fishery_problem_one","fishery_problem_two","fishery_problem_three","fishery_solution_one","fishery_solution_two","fishery_solution_three","rank_one","rank_two","rank_three","rank_four","catch_trends","opinion_a","opinion_b","opinion_c","opinion_d","opinion_e","opinion_f","opinion_g","opinion_h","opinion_i","trust_a","trust_b","trust_c","trust_d","trust_e","trust_f","trust_g","trust_h","trust_i","trust_j","trust_k","trust_l","satisfaction_a","satisfaction_b","satisfaction_c","age","years_fishing","education","other_education","income","income_fishing","income_expenses","photo","last_comments"
2019-06-27 07:08:51,2019-07-02 04:33:33,"data",1014,6,"IND","RAJ","male","GF","RARE",1,0,0,0,0,0,0,0,NA,"own","wood","no","no",4,NA,1,0,0,"0",0,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,"package_chosen","yes","yes","no",NA,NA,NA,NA,NA,NA,"Translate",NA,1,0,0,1,1,0,0,0,0,"Tenggiri","Goropa","Bobara",100,0,0,0,0,NA,"yes","customary_orga",NA,"apprentice",NA,15,"community_memb",NA,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,NA,"never",NA,"none","yes","Tidal Ada",NA,NA,NA,NA,NA,"weather","trash_pollutin","iuu","corruption","same","agree","agree","agree","agree","neutral","disagree","disagree","disagree","agree","trust_entirely","trust_entirely","trust_entirely","trust_entirely","somewhat_distr","somewhat_distr","neutral","trust_entirely","trust_entirely","trust_entirely","trust_entirely","distrust_entir","extremely_sati","unsatisfied","satisfied",50,15,"vocational",NA,NA,NA,NA,NA,"Need Translation: 16, 32
Not answered: 17, 19, 33, 42, 43, 44
Notes:
6 - Boat length 3.5, entered as 4
34 - Not ranked properly
Transcribed by BR 29-06-2019 1800"
2019-06-29 07:03:46,2019-07-02 04:40:02,"data",1015,7,"IND","RAJ","male","GF","RARE",1,0,0,0,0,0,0,0,NA,"own","wood","no","no",3,NA,0,0,0,"0",1,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,"package_chosen","yes","yes","no",NA,NA,NA,NA,NA,NA,"Need Translation",NA,0,0,0,1,0,0,0,1,1,"Tengiri","Gorapa","Bobara",25,0,75,0,0,NA,"yes","customary_orga",NA,"apprentice",NA,10,"there_are_no_r",NA,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,NA,"few_year",NA,"strong","yes","Becum semua atukan di taati",NA,NA,"Percu ketegasan",NA,NA,"trash_pollutin","iuu","weather","corruption","same","agree","agree","agree","agree","agree","disagree","disagree","disagree","agree","trust_entirely","trust_entirely","trust_entirely","trust_entirely","somewhat_distr","somewhat_distr","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","neutral","satisfied","unsatisfied","neutral",42,30,"hs",NA,NA,NA,NA,NA,"Need Translation: 16, 32, 33
Problem: 34 (not ranked properly) 
Blank: 17, 19, 42, 43, 44
Notes: 
25 - Value given was 5-10, value entered was 10
Transcribed by BR 29-06-2019 1620"
2019-06-29 07:17:28,2019-07-02 04:32:12,"data",1016,8,"IND","RAJ","male","GF","RARE",1,0,0,0,0,0,0,0,NA,"rent","Need to Translate","yes","no",2,NA,1,0,0,"0",0,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,"package_chosen","yes","no",NA,NA,NA,NA,NA,NA,NA,"Translate",NA,0,0,1,0,1,0,0,1,0,"Bobara","Kerapa","Gutila",50,0,50,0,0,NA,"yes","customary_orga",NA,"apprentice",NA,5,"there_are_no_r",NA,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,NA,"few_year",NA,"moderate","yes","Becum taat aturan",NA,NA,"TRanslate",NA,NA,"weather","trash_pollutin","iuu","corruption","same","agree","agree","agree","disagree","disagree","disagree","agree","agree","agree","trust_entirely","trust_entirely","trust_entirely","trust_entirely","somewhat_distr","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","satisfied","unsatisfied","unsatisfied",37,16,"hs",NA,NA,NA,NA,NA,"Need translation: 16, 32, 33
Problem: 34 (Not properly ranked)
No answer: 17, 19, 42, 43, 44
Transcribed by BR 29-06-2019 1630"
2019-06-29 07:27:49,2019-07-02 04:22:39,"data",1017,9,"IND","RAJ","male","GF","RARE",1,0,0,0,0,0,0,0,NA,"own","wood","yes","no",4,NA,1,0,0,"0",0,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,"package_chosen","yes","yes","no",NA,NA,NA,NA,NA,NA,"Need to Translate",NA,0,1,0,1,1,0,0,0,0,"Bobara","Goropa","Gutila",20,0,80,0,0,NA,"yes","customary_orga",NA,"apprentice",NA,20,"there_are_no_r",NA,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,NA,"few_year",NA,"moderate","yes","Pengacoasan",NA,NA,"Translate",NA,NA,NA,NA,"weather",NA,"same","strongly_disag","strongly_disag","strongly_disag","strongly_disag","strongly_disag","strongly_disag","strongly_disag","strongly_agree","strongly_agree","somewhat_distr","trust_entirely","trust_entirely","trust_entirely","distrust_entir","trust_entirely","trust_entirely","trust_entirely","trust_entirely","neutral","trust_entirely","distrust_entir","satisfied","unsatisfied","satisfied",40,15,"some_hs",NA,NA,NA,NA,NA,"Need translation 6, 16, 20, 32, 33
Problem 34 (Not properly ranked) 
No answer: 17, 19, 42, 43, 44
Transcribed by BR 29-06-2019 1635"
2019-06-29 07:35:53,2019-07-02 04:31:11,"data",1012,10,"IND","RAJ","male","GF","RARE",1,0,0,0,0,0,0,0,NA,"own","fiberglass","yes","no",8,NA,0,0,0,"0",1,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,"package_chosen","yes","no",NA,NA,NA,NA,NA,NA,NA,"Need Translation",NA,0,0,1,0,0,0,1,0,1,"Tengiri","Kerapa","Ikan Karung",25,0,75,0,0,NA,"yes","customary_orga",NA,"apprentice",NA,4,"there_are_no_r",NA,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,NA,"few_year",NA,"moderate","yes","Translate",NA,NA,"Translate",NA,NA,NA,NA,NA,"trash_pollutin","same","agree","neutral","agree","agree","agree","strongly_disag","strongly_disag","disagree","agree","somewhat_distr","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","somewhat_distr","extremely_sati","extremely_unsa","satisfied",52,30,"vocational",NA,NA,NA,NA,NA,"Need translation 16, 20, 32, 33
Not answered: 17, 19, 42, 43, 44
Notes: 
25 - Indicated 3 - 4 members, entered as 4
34 - Not properly Ranked
Transcribed by BR 29-06-2019 1645"
2019-06-29 10:18:00,2019-07-02 04:29:42,"data",1001,3,"IND","RAJ","male","AB","GFW",1,0,0,0,0,0,0,0,NA,"own","wood","yes","no",7,NA,1,0,1,"0",0,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,"no_package",NA,NA,NA,NA,"no","yes",NA,NA,"None","Knowing my location","Tahu lokasi dan diketahui masyarakat",0,0,1,1,0,0,0,1,0,"Kerapu","Tenggiri","Bubara",10,0,90,0,0,NA,"yes","customary_orga",NA,"partner",NA,10,"community_memb_1",NA,1,0,0,1,0,0,0,NA,1,1,1,1,0,0,0,NA,"other","Daily when loading fish catch at pool","strong","yes","None",NA,NA,"None",NA,NA,"trash_pollutin","iuu","weather","corruption","low_improve","agree","agree","agree","agree","agree","strongly_disag","agree","agree","agree","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","neutral","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","somewhat_distr","satisfied","satisfied","satisfied",19,1,"other","Junior high school equivalent",1e+06,100,50,NA,"Need translation
Not Answered: 
Notes: 
40 - Answered as ""1 bulan"" translation to one month
Form completed in google forms 
Transcribed by BR 20-06-2019 1925"
2019-06-29 11:25:55,2019-07-02 04:27:37,"data",1002,14,"IND","RAJ","male","WG","GFW",1,0,0,0,0,0,0,0,NA,"own","fiberglass","yes","no",9,NA,1,1,0,"0",0,NA,1,1,0,0,0,1,0,0,NA,"VMS","tahu persis lokasi tahu jalan pulang",NA,"ga ada ruginya",NA,2,"package_chosen","yes","yes","no",NA,NA,NA,NA,NA,"1. bisa ketahuan salah 2. Kesalahan denda tak bisa tipu","memudahkan tempat mencari utk saya memudahkan orang lain saat saya dalam bahaya","seketika ada musibah bisa langsung dibantu. ada bukti kalau ada apa",0,0,0,0,0,0,1,1,1,"ikan merah","gropa","bobara",50,25,25,0,0,NA,"yes","customary_orga",NA,"partner",NA,10,"anyone_with_a_",NA,0,1,0,1,1,0,0,NA,1,1,1,0,0,0,0,NA,"other","tergantung bbm yg tersedia","weak","yes","ga enak kalau tetangga atau keluarga yg melanggarq",NA,NA,"pemahaman","baru sanksi",NA,"weather","iuu","corruption","trash_pollutin","high_dec","agree","agree","agree","strongly_agree","strongly_disag","strongly_disag","strongly_disag","neutral","agree","trust_entirely","somewhat_trust","somewhat_trust","neutral","somewhat_trust","neutral","neutral","neutral","somewhat_trust","trust_entirely","somewhat_trust","neutral","satisfied","neutral","satisfied",41,25,"hs",NA,1e+06,100,80,NA,"Need translation
Not answered: 2
Notes:
From Survey - tergantung kondisi yg ada terkait penghasilan, tidak bisa exact number.
Transcribed by BR 29-06-2019 1950"
2019-06-29 11:47:45,2019-07-02 04:23:44,"data",1003,10,"IND","RAJ","male","NV","RARE",1,0,0,0,0,0,0,0,NA,"share_collective","fiberglass","yes","no",9,NA,0,0,0,"0",1,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2,"package_chosen","no",NA,NA,NA,NA,NA,NA,NA,"Bisa melacak keberadaan saya",NA,NA,0,0,1,0,0,0,1,1,0,"Gutila","Bobara","Garopa",60,40,0,0,0,NA,"yes","customary_orga",NA,"director",NA,7,"community_memb",NA,1,0,1,0,1,0,0,NA,0,1,0,0,0,0,0,NA,"every_week",NA,"strong","yes","Nelayan luar yang masuk tanpa ijin",NA,NA,"Pengawasan masyarakat",NA,NA,NA,NA,NA,"trash_pollutin","low_improve","agree","strongly_agree","agree","strongly_agree","agree","neutral","neutral","strongly_agree","strongly_agree","somewhat_trust","somewhat_trust","trust_entirely","trust_entirely","trust_entirely","somewhat_trust","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","neutral","extremely_sati","extremely_unsa","satisfied",68,55,"some_hs",NA,1500000,30,20,NA,"Need Translation
Not Answered: 2(Community), 16, 19
Note:
34 (Not Ranked Correctly) 
Information transferred from GoogleForm
Transcribed by BR 29-06-2019 2000"
2019-06-29 12:00:41,2019-07-02 04:13:27,"data",1004,5,"IND","RAJ","male","GF","RARE",1,1,0,0,0,0,0,0,NA,"own","fiberglass","yes","no",4,NA,0,0,0,"0",1,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,"package_chosen","yes","yes","no",NA,NA,NA,NA,NA,"Bisa terlacak","Mengetahui posisi kapal","Komunikasi dengan orang lebih baik",0,0,1,1,1,0,0,0,0,"Tenggiri","Bobara","Merah",0,0,20,0,0,NA,"yes","customary_orga",NA,"director",NA,10,"community_memb",NA,1,0,1,0,0,0,0,NA,1,1,1,0,0,0,0,NA,"every_week",NA,"moderate","yes","Tidak ada aturan",NA,NA,"Menjaga laut di kampung sendiri",NA,NA,"trash_pollutin",NA,NA,NA,"low_dec","agree","agree","agree","agree","agree","disagree","strongly_agree","strongly_agree","agree","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","trust_entirely","neutral","extremely_sati","unsatisfied","satisfied",56,15,"some_hs",NA,1e+06,100,50,NA,"Need Translation
Not Answered:
Note:
34 (incorrectly ranked) 
6a - Boat length rounded from to 4 from 4.2
21 - Market does not add up to 100%
42 - Monthly income answered as Rp. 100.000, entered as 1,000,000
Survey Note from Interviewee : Sangat baik untuk diri pribadi
Transcribed from Google Doc by BR 29-06-2019 2230"
2019-06-29 14:37:29,2019-07-02 04:08:45,"data",1005,11,"IND","RAJ","male","RF","USAID",1,1,0,0,0,0,0,0,NA,"own","fiberglass","yes","no",5,NA,0,0,0,"0",1,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,"package_chosen","yes","yes","no",NA,NA,NA,NA,NA,"Bisa buat lebih disiplin karena bila melewati kawasan tetangga bisa kena pelanggaran","Keuntungan bila kena ada musibah atau sepakat dengan nelayan lain dengan kode yg sama untuk nelayan luar.. lalu bisa juga tau keberadaan kita di laut","Karena kalo ada alat ini manfaat bisa mendeteksi ikan yg banyak dimana jadi tidak cari cari lagi sehingga lebuh hemat waktu untukbsampai ke lokasi",0,0,1,1,1,0,0,0,0,"Bubara","Kakap","Kerapu",NA,NA,NA,NA,NA,"Mayoritas untuk dijual untuk rumah sendiri duku baru ke tetangga.. mayiritas untuk jual","yes","other","Kepala Adat","director",NA,6,"community_memb",NA,1,1,0,1,0,0,0,NA,0,1,1,0,0,0,0,NA,"other","Sementara ini masih blud dan ci dari adat belum","strong","yes","Tangkapan menurun",NA,NA,"Pengawasam ditingkatkan",NA,NA,NA,"weather","trash_pollutin",NA,"low_dec","strongly_agree","agree","strongly_agree","strongly_agree","strongly_disag","strongly_disag","strongly_disag","strongly_disag","strongly_agree","trust_entirely","somewhat_trust","somewhat_trust","trust_entirely","somewhat_trust","somewhat_trust","trust_entirely","trust_entirely","trust_entirely","somewhat_trust","somewhat_trust","somewhat_trust","extremely_sati","n_a","satisfied",59,30,"other","Junior high school equivalent",NA,100,20,NA,"Needs Translation

Note: 
CE - Willingness to pay depends on if technology led to increase in income
21 - Answered as ""Mayoritas untuk dijual untuk rumah sendiri duku baru ke tetangga.. mayiritas untuk jual"" 
34 - Both b and d ranked as 4th
42 - Answered as ""500 per bulan tambahannya gakbmau bilanh""
Transcribed from Google Forms by BR 20-06-2019 2300"
