start,survey_id,survey_version,country,community
2019-06-27T16:08:51.218+09:00,1014,6,IND,RAJ
2019-06-29T16:03:46.546+09:00,1015,7,IND,RAJ
2019-06-29T16:17:28.581+09:00,1016,8,IND,RAJ
2019-06-29T16:27:49.014+09:00,1017,9,IND,RAJ
2019-06-29T16:35:53.595+09:00,1012,10,IND,RAJ
2019-06-29T19:18:00.639+09:00,1001,3,IND,RAJ
2019-06-29T20:25:55.481+09:00,1002,14,IND,RAJ
2019-06-29T20:47:45.585+09:00,1003,10,IND,RAJ
2019-06-29T21:00:41.052+09:00,1004,5,IND,RAJ
2019-06-29T23:37:29.185+09:00,1005,11,IND,RAJ
2019-06-29T23:56:28.665+09:00,1006,1,IND,RAJ
2019-06-30T09:11:15.249+09:00,1007,2,IND,RAJ
2019-06-30T09:38:56.021+09:00,1013,3,IND,RAJ
2019-06-30T14:21:47.212+09:00,1011,4,IND,RAJ
2019-06-30T15:05:54.991+09:00,1009,6,IND,RAJ
2019-06-30T15:20:30.703+09:00,1010,16,IND,RAJ
2019-06-30T16:13:32.725+09:00,1018,7,IND,RAJ
2019-07-01T14:53:49.310+07,3001,4,IND,MAK
2019-07-01T22:46:47.948+07:00,1008,11,IND,RAJ
2019-07-01T23:00:41.758+07:00,2002,7,IND,MNC
2019-07-02T09:43:57.876+07:00,2003,8,IND,MNC
2019-07-02T09:44:15.546+07,3002,5,IND,MAK
2019-07-02T09:44:31.674+07,3003,10,IND,MAK
2019-07-02T10:00:48.080+07:00,2004,9,IND,MNC
2019-07-02T10:01:34.177+07,3004,7,IND,MAK
2019-07-02T10:13:08.229+07,3005,7,IND,MAK
2019-07-02T10:22:11.153+07:00,2001,10,IND,MNC
2019-07-02T10:27:26.445+07,3006,11,IND,MAK
2019-07-02T10:51:53.302+07,3007,8,IND,MAK
2019-07-02T11:02:38.833+07,3008,9,IND,MAK
2019-07-02T11:06:02.089+07,3009,13,IND,MAK
2019-07-02T11:21:28.567+07,3010,10,IND,MAK
2019-07-02T11:49:38.739+07,3011,10,IND,MAK
2019-07-02T12:19:16.456+07,3012,11,IND,MAK
2019-07-02T12:29:47.720+07,3013,11,IND,MAK
2019-07-02T12:53:12.762+07,3014,14,IND,MAK
2019-07-02T13:39:45.893+07,3015,14,IND,MAK
2019-07-02T14:01:25.293+07,3016,9,IND,MAK
2019-07-02T14:28:30.230+07,3017,2,IND,MAK
2019-07-02T14:39:08.685+07,3018,3,IND,MAK
2019-07-03T09:19:51.234+07,3019,12,IND,MAK
2019-07-03T09:36:32.037+07,3020,15,IND,MAK
2019-07-03T09:55:19.302+07,3021,13,IND,MAK
2019-07-03T10:07:41.067+07,3022,1,IND,MAK
2019-07-03T10:36:12.801+07,3023,16,IND,MAK
2019-07-03T10:56:28.828+07,3024,12,IND,MAK
2019-07-03T11:19:49.058+07,3025,15,IND,MAK
2019-07-03T11:35:52.244+07,3026,15,IND,MAK
2019-07-03T11:55:42.751+07,3027,12,IND,MAK
2019-07-03T13:37:21.563+07,3028,12,IND,MAK
2019-07-03T13:49:04.556+07,3029,16,IND,MAK
2019-07-03T14:22:38.422+07,3030,1,IND,MAK
