start,end,survey_type,survey_id,survey_version,interviewer,interviewer_Org,country,community,sex,gear_handline,gear_spear,gear_traps,gear_gill_net,gear_mobile_net,gear_stationary_line,gear_other,other_gear,boat_status,boat_length_m,boat_material,boat_motorized,boat_power,comment,tech_smartphone,tech_maps,tech_socialmedia,tech_other,tech_no_tech,other_tech,fishtech_vhf,fishtech_fishfinder,fishtech_survcam,fishtech_catchapp,fishtech_vesseltrack,fishtech_gps,fishtech_other,fishtech_none,other_fishtech,text_vms,positive_tracking_tech_one,positive_tracking_tech_two,negative_tracking_tech_one,negative_tracking_tech_two,choice,package_nopackage,wtp_1,wtp_2,wtp_3,wtp_4,wtr_1,wtr_2,wtr_3,wtr_4,tracking_negative,tracking_positive,design_a,design_b,design_c,design_d,design_e,design_f,design_g,design_h,design_i,text_vms_adoption,target_species_one,target_species_two,target_species_three,fraction_personal,fraction_neighbor,fraction_local_trade,fraction_export,fraction_other,other_fraction,fishing_organization,fishing_org_type,other_type,fishing_org_role,other_role,fishing_org_members,access_target_species,other_access,restriction_gear,restriction_size,restriction_season,restriction_spacial,restriction_quota,restriction_other,restriction_none,other_restriction,enforcement_community_members,enforcement_village_leader,enforcement_village_gov,enforcement_provincial_gov,enforcement_national_gov,enforcement_none,enforcement_other,other_enforcement,enforcement_interval,other_interval,punishment_severity,mpa,fishery_problem_one,fishery_problem_two,fishery_problem_three,fishery_solution_one,fishery_solution_two,fishery_solution_three,rank_one,rank_two,rank_three,rank_four,catch_trends,opinion_a,opinion_b,opinion_c,opinion_d,opinion_e,opinion_f,opinion_g,opinion_h,opinion_i,trust_a,trust_b,trust_c,trust_d,trust_e,trust_f,trust_g,trust_h,trust_i,trust_j,trust_k,trust_l,satisfaction_a,satisfaction_b,satisfaction_c,age,years_fishing,education,other_education,income,income_fishing,income_expenses,photo,last_comments
2019-06-27T16:08:51.218+09:00,2019-07-02T11:33:33.146+07:00,D,1014,6,GF,RARE,IND,RAJ,M,1,0,0,0,0,0,0,,own,4,w,n,n,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,,,,,2,1,y,y,n,,,,,,Translate,,1,0,0,1,1,0,0,0,0,,narrow-barred spanish mackerel,grouper,bluefin trevally,100,0,0,0,0,,y,customary_org,,apprentice,,15,community,,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,,never,,none,y,Tidal Ada,,,,,,weather,pollution,iuu,corruption,no_change,4,4,4,4,3,2,2,2,4,5,5,5,5,2,2,3,5,5,5,5,1,5,2,4,50,15,vocational,,,,,,"Need Translation: 16, 32
 Not answered: 17, 19, 33, 42, 43, 44
 Notes:
 6 - Boat length 3.5, entered as 4
 34 - Not ranked properly
 Transcribed by BR 29-06-2019 1800"
2019-06-29T16:03:46.546+09:00,2019-07-02T11:40:02.123+07:00,D,1015,7,GF,RARE,IND,RAJ,M,1,0,0,0,0,0,0,,own,3,w,n,n,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,,,,,1,1,y,y,n,,,,,,Need Translation,,0,0,0,1,0,0,0,1,1,,narrow-barred spanish mackerel,grouper,bluefin trevally,25,0,75,0,0,,y,customary_org,,apprentice,,10,no_restrictions,,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,,few_year,,strong,y,Becum semua atukan di taati,,,Percu ketegasan,,,pollution,iuu,weather,corruption,no_change,4,4,4,4,4,2,2,2,4,5,5,5,5,2,2,5,5,5,5,5,3,4,2,3,42,30,secondary,,,,,,"Need Translation: 16, 32, 33
 Problem: 34 (not ranked properly) 
 Blank: 17, 19, 42, 43, 44
 Notes: 
 25 - Value given was 5-10, value entered was 10
 Transcribed by BR 29-06-2019 1620"
2019-06-29T16:17:28.581+09:00,2019-07-02T11:32:12.633+07:00,D,1016,8,GF,RARE,IND,RAJ,M,1,0,0,0,0,0,0,,rent,2,w,y,n,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,,,,,2,1,y,n,,,,,,,Translate,,0,0,1,0,1,0,0,1,0,,bluefin trevally,grouper,emperor,50,0,50,0,0,,y,customary_org,,apprentice,,5,no_restrictions,,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,,few_year,,moderate,y,Becum taat aturan,,,Translate,,,weather,pollution,iuu,corruption,no_change,4,4,4,2,2,2,4,4,4,5,5,5,5,2,5,5,5,5,5,5,5,4,2,2,37,16,secondary,,,,,,"Need translation: 16, 32, 33
 Problem: 34 (Not properly ranked)
 No answer: 17, 19, 42, 43, 44
 Transcribed by BR 29-06-2019 1630"
2019-06-29T16:27:49.014+09:00,2019-07-02T11:22:39.658+07:00,D,1017,9,GF,RARE,IND,RAJ,M,1,0,0,0,0,0,0,,own,4,w,y,n,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,,,,,1,1,y,y,n,,,,,,Need to Translate,,0,1,0,1,1,0,0,0,0,,bluefin trevally,grouper,emperor,20,0,80,0,0,,y,customary_org,,apprentice,,20,no_restrictions,,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,,few_year,,moderate,y,Pengacoasan,,,Translate,,,,,weather,,no_change,1,1,1,1,1,1,1,5,5,2,5,5,5,1,5,5,5,5,3,5,1,4,2,4,40,15,primary,,,,,,"Need translation 6, 16, 20, 32, 33
 Problem 34 (Not properly ranked) 
 No answer: 17, 19, 42, 43, 44
 Transcribed by BR 29-06-2019 1635"
2019-06-29T16:35:53.595+09:00,2019-07-02T11:31:11.322+07:00,D,1012,10,GF,RARE,IND,RAJ,M,1,0,0,0,0,0,0,,own,8,fg,y,n,,0,0,0,0,1,,0,0,0,0,0,,0,1,,,,,,,2,1,y,n,,,,,,,Need Translation,,0,0,1,0,0,0,1,0,1,,narrow-barred spanish mackerel,grouper,indian mackerel,25,0,75,0,0,,y,customary_org,,apprentice,,4,no_restrictions,,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,,few_year,,moderate,y,Translate,,,Translate,,,,,,pollution,no_change,4,3,4,4,4,1,1,2,4,2,5,5,5,5,5,5,5,5,5,5,2,5,1,4,52,30,vocational,,,,,,"Need translation 16, 20, 32, 33
 Not answered: 17, 19, 42, 43, 44
 Notes: 
 25 - Indicated 3 - 4 members, entered as 4
 34 - Not properly Ranked
 Transcribed by BR 29-06-2019 1645"
2019-06-29T19:18:00.639+09:00,2019-07-02T11:29:42.482+07:00,D,1001,3,AB,GFW,IND,RAJ,M,1,0,0,0,0,0,0,,own,7,w,y,n,,1,0,1,0,0,,0,0,0,0,0,0,0,1,,,,,,,1,0,,,,,n,y,,,Knowing my location,None,0,0,1,1,0,0,0,1,0,Tahu lokasi dan diketahui masyarakat,grouper,narrow-barred spanish mackerel,bluefin trevally,10,0,90,0,0,,y,customary_org,,partner,,10,neighboring_community,,1,0,0,1,0,0,0,,1,1,1,1,0,0,0,,other,Daily when loading fish catch at pool,strong,y,None,,,None,,,pollution,iuu,weather,corruption,improve_low,4,4,4,4,4,1,4,4,4,5,5,5,5,5,3,5,5,5,5,5,2,4,4,4,19,1,secondary,Junior high school equivalent,1000000,100,50,,"Need translation
 Not Answered: 
 Notes: 
 40 - Answered as ""1 bulan"" translation to one month
 Form completed in google forms 
 Transcribed by BR 20-06-2019 1925"
2019-06-29T20:25:55.481+09:00,2019-07-02T11:27:37.009+07:00,D,1002,14,WG,GFW,IND,RAJ,M,1,0,0,0,0,0,0,,own,9,fg,y,n,,1,1,0,0,0,,1,1,0,0,1,0,0,0,VMS,,tahu persis lokasi tahu jalan pulang,,ga ada ruginya,,2,1,y,y,n,,,,,,memudahkan tempat mencari utk saya memudahkan orang lain saat saya dalam bahaya,1. bisa ketahuan salah 2. Kesalahan denda tak bisa tipu,0,0,0,0,0,0,1,1,1,seketika ada musibah bisa langsung dibantu. ada bukti kalau ada apa,snapper,grouper,bluefin trevally,50,25,25,0,0,,y,customary_org,,partner,,10,permit_holders,,0,1,0,1,1,0,0,,1,1,1,0,0,0,0,,other,tergantung bbm yg tersedia,weak,y,ga enak kalau tetangga atau keluarga yg melanggarq,,,pemahaman,baru sanksi,,weather,iuu,corruption,pollution,decline_high,4,4,4,5,1,1,1,3,4,5,4,4,3,4,3,3,3,4,5,4,3,4,3,4,41,25,secondary,,1000000,100,80,,"Need translation
 Not answered: 2
 Notes:
 From Survey - tergantung kondisi yg ada terkait penghasilan, tidak bisa exact number.
 Transcribed by BR 29-06-2019 1950"
2019-06-29T20:47:45.585+09:00,2019-07-02T11:23:44.700+07:00,D,1003,10,NV,RARE,IND,RAJ,M,1,0,0,0,0,0,0,,share_collective,9,fg,y,n,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,,,,,2,1,n,,,,,,,,,Bisa melacak keberadaan saya,0,0,1,0,0,0,1,1,0,,emperor,bluefin trevally,grouper,60,40,0,0,0,,y,customary_org,,director,,7,community,,1,0,1,0,1,0,0,,0,1,0,0,0,0,0,,once_week,,strong,y,Nelayan luar yang masuk tanpa ijin,,,Pengawasan masyarakat,,,,,,pollution,improve_low,4,5,4,5,4,3,3,5,5,4,4,5,5,5,4,5,5,5,5,5,3,5,1,4,68,55,primary,,1500000,30,20,,"Need Translation
 Not Answered: 2(Community), 16, 19
 Note:
 34 (Not Ranked Correctly) 
 Information transferred from GoogleForm
 Transcribed by BR 29-06-2019 2000"
2019-06-29T21:00:41.052+09:00,2019-07-02T11:13:27.791+07:00,D,1004,5,GF,RARE,IND,RAJ,M,1,1,0,0,0,0,0,,own,4,fg,y,n,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,,,,,1,1,y,y,n,,,,,,Mengetahui posisi kapal,Bisa terlacak,0,0,1,1,1,0,0,0,0,Komunikasi dengan orang lebih baik,narrow-barred spanish mackerel,bluefin trevally,red snapper,0,0,20,0,0,,y,customary_org,,director,,10,community,,1,0,1,0,0,0,0,,1,1,1,0,0,0,0,,once_week,,moderate,y,No rules or regulations,,,Menjaga laut di kampung sendiri,,,pollution,,,,decline_low,4,4,4,4,4,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,2,4,56,15,primary,,1000000,100,50,,"Need Translation
 Not Answered:
 Note:
 34 (incorrectly ranked) 
 6a - Boat length rounded from to 4 from 4.2
 21 - Market does not add up to 100%
 42 - Monthly income answered as Rp. 100.000, entered as 1,000,000
 Survey Note from Interviewee : Sangat baik untuk diri pribadi
 Transcribed from Google Doc by BR 29-06-2019 2230"
2019-06-29T23:37:29.185+09:00,2019-07-02T11:08:45.512+07:00,D,1005,11,RF,USAID,IND,RAJ,M,1,1,0,0,0,0,0,,own,5,fg,y,n,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,,,,,1,1,y,y,n,,,,,,Keuntungan bila kena ada musibah atau sepakat dengan nelayan lain dengan kode yg sama untuk nelayan luar.. lalu bisa juga tau keberadaan kita di laut,Bisa buat lebih disiplin karena bila melewati kawasan tetangga bisa kena pelanggaran,0,0,1,1,1,0,0,0,0,Karena kalo ada alat ini manfaat bisa mendeteksi ikan yg banyak dimana jadi tidak cari cari lagi sehingga lebuh hemat waktu untukbsampai ke lokasi,bluefin trevally,snapper,grouper,50,50,0,0,0,Mayoritas untuk dijual untuk rumah sendiri duku baru ke tetangga.. mayiritas untuk jual,y,other,Kepala Adat,director,,6,community,,1,1,0,1,0,0,0,,0,1,1,0,0,0,0,,other,Sementara ini masih blud dan ci dari adat belum,strong,y,Tangkapan menurun,,,Pengawasam ditingkatkan,,,,weather,pollution,,decline_low,5,4,5,5,1,1,1,1,5,5,4,4,5,4,4,5,5,5,4,4,4,5,0,4,59,30,secondary,Junior high school equivalent,,100,20,,"Needs Translation
 
 Note: 
 CE - Willingness to pay depends on if technology led to increase in income
 21 - Answered as ""Mayoritas untuk dijual untuk rumah sendiri duku baru ke tetangga.. mayiritas untuk jual"" 
 34 - Both b and d ranked as 4th
 42 - Answered as ""500 per bulan tambahannya gakbmau bilanh""
 Transcribed from Google Forms by BR 20-06-2019 2300"
