survey_id,wtp,start,end,survey_type,survey_version,country,community,sex,boat_status,boat_power,boat_length,choice,package_nopackage,fishing_organization,punishment_severity,mpa,age,years_fishing,education,digits,gear_handline,gear_spear,gear_traps,gear_gillnet,gear_mobilenet,gear_statline,gear_buceo,gear_other,other_gear,fishtech_vhf,fishtech_fishfinder,fishtech_survcam,fishtech_catchapp,fishtech_gps,fishtech_vesseltrack,fishtech_other,fishtech_none,other_fishtech,enforcement_community_members,enforcement_village_leader,enforcement_village_gov,enforcement_provincial_gov,enforcement_national_gov,enforcement_none,enforcement_other,restriction_gear,restriction_size,restriction_season,restriction_spacial,restriction_quota,restriction_other,restriction_none,rank_one,rank_two,rank_three,rank_four,income_usd,opinion_a,opinion_b,opinion_c,opinion_d,opinion_e,opinion_f,opinion_g,opinion_h,opinion_i,trust_a,trust_b,trust_c,trust_d,trust_e,trust_f,trust_g,trust_h,trust_i,trust_j,trust_k,trust_l,satisfaction_a,satisfaction_b,satisfaction_c
1001,-2,2019-06-29 10:18,2019-07-02 4:29,data,3,IND,RAJ,M,own,no,7,1,no_package,yes,strong,yes,19,1,other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,1,0,0,1,0,0,0,trash_pollutin,iuu,weather,corruption,71,agree,agree,agree,agree,agree,strongly_disag,agree,agree,agree,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,neutral,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,somewhat_distr,satisfied,satisfied,satisfied
1002,2,2019-06-29 11:25,2019-07-02 4:27,data,14,IND,RAJ,M,own,no,9,2,package_chosen,yes,weak,yes,41,25,secondary,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,NA,1,1,1,0,0,0,0,0,1,0,1,1,0,0,weather,iuu,corruption,trash_pollutin,71,agree,agree,agree,strongly_agree,strongly_disag,strongly_disag,strongly_disag,neutral,agree,trust_entirely,somewhat_trust,somewhat_trust,neutral,somewhat_trust,neutral,neutral,neutral,somewhat_trust,trust_entirely,somewhat_trust,neutral,satisfied,neutral,satisfied
1003,0,2019-06-29 11:47,2019-07-02 4:23,data,10,IND,RAJ,M,share_collective,no,9,2,package_chosen,yes,strong,yes,68,55,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,1,0,0,weather,iuu,trash_pollutin,corruption,106,agree,strongly_agree,agree,strongly_agree,agree,neutral,neutral,strongly_agree,strongly_agree,somewhat_trust,somewhat_trust,trust_entirely,trust_entirely,trust_entirely,somewhat_trust,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,neutral,extremely_sati,extremely_unsa,satisfied
1004,2,2019-06-29 12:00,2019-07-02 4:13,data,5,IND,RAJ,M,own,no,4,1,package_chosen,yes,moderate,yes,56,15,secondary,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,0,0,0,0,1,0,1,0,0,0,0,trash_pollutin,iuu,weather,corruption,71,agree,agree,agree,agree,agree,disagree,strongly_agree,strongly_agree,agree,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,trust_entirely,neutral,extremely_sati,unsatisfied,satisfied
1005,2,2019-06-29 14:37,2019-07-02 4:08,data,11,IND,RAJ,M,own,no,5,1,package_chosen,yes,strong,yes,59,30,other,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,1,0,0,0,0,1,1,0,1,0,0,0,weather,iuu,trash_pollutin,corruption,143,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disag,strongly_disag,strongly_disag,strongly_disag,strongly_agree,trust_entirely,somewhat_trust,somewhat_trust,trust_entirely,somewhat_trust,somewhat_trust,trust_entirely,trust_entirely,trust_entirely,somewhat_trust,somewhat_trust,somewhat_trust,extremely_sati,n_a,satisfied
1006,0,2019-06-29 14:56,2019-07-02 4:04,data,1,IND,RAJ,M,own,no,6,2,no_package,yes,severe,yes,26,7,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,1,1,0,0,0,1,1,0,1,0,0,0,iuu,weather,trash_pollutin,corruption,71,neutral,agree,disagree,strongly_agree,strongly_disag,strongly_disag,strongly_agree,strongly_agree,agree,trust_entirely,somewhat_trust,somewhat_trust,somewhat_trust,neutral,NA,somewhat_trust,NA,neutral,somewhat_trust,NA,somewhat_distr,neutral,neutral,extremely_unsa
1007,4,2019-06-30 0:11,2019-07-02 4:00,data,2,IND,RAJ,M,share_collective,no,7,1,package_chosen,yes,weak,no,23,11,secondary,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,1,0,0,1,0,0,0,0,0,0,corruption,weather,iuu,trash_pollutin,78,agree,agree,agree,agree,neutral,disagree,agree,agree,disagree,trust_entirely,somewhat_trust,neutral,somewhat_trust,distrust_entir,neutral,somewhat_trust,NA,somewhat_trust,somewhat_trust,NA,somewhat_trust,satisfied,satisfied,satisfied
1008,0,2019-07-01 15:46,2019-07-01 16:00,data,11,IND,RAJ,M,own,no,9,1,no_package,yes,weak,yes,33,9,no_formal,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,0,0,1,0,0,0,1,1,1,1,0,0,0,weather,trash_pollutin,iuu,corruption,213,strongly_agree,agree,strongly_disag,disagree,strongly_agree,strongly_disag,strongly_agree,agree,strongly_agree,somewhat_trust,trust_entirely,somewhat_trust,somewhat_trust,trust_entirely,NA,trust_entirely,NA,trust_entirely,somewhat_trust,NA,NA,extremely_sati,n_a,satisfied
1009,2,2019-06-30 6:05,2019-07-02 3:46,data,6,IND,RAJ,M,own,no,9,2,package_chosen,no,weak,no,46,34,secondary,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,0,0,0,0,1,1,0,1,0,0,0,weather,iuu,trash_pollutin,corruption,7,agree,strongly_disag,strongly_agree,agree,strongly_agree,strongly_disag,strongly_agree,agree,agree,trust_entirely,somewhat_distr,neutral,trust_entirely,trust_entirely,neutral,trust_entirely,neutral,trust_entirely,trust_entirely,NA,somewhat_trust,n_a,satisfied,extremely_sati
1010,0,2019-06-30 6:20,2019-07-02 3:38,data,16,IND,RAJ,M,own,no,9,2,package_chosen,yes,strong,yes,42,30,secondary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,1,1,0,0,0,1,0,1,0,0,0,weather,iuu,trash_pollutin,corruption,568,disagree,agree,agree,neutral,disagree,strongly_disag,strongly_agree,strongly_agree,neutral,trust_entirely,neutral,trust_entirely,somewhat_trust,somewhat_distr,NA,somewhat_trust,NA,trust_entirely,somewhat_trust,NA,NA,extremely_sati,extremely_sati,unsatisfied
